重庆润栎建筑劳务有限公司	106.559674,29.534276
重庆谭龙园林有限公司	106.591190,29.642018
重庆黑洞文化传播有限公司	查询失败
重庆市万州区天生城无花果开发有限公司	108.372890,30.813208
重庆金言唐实业有限公司	108.344938,30.711085
重庆冉盛建设集团有限公司	105.932199,28.983648
重庆鼎穗鑫农业发展有限公司	106.518442,29.473586
重庆奥迈建筑工程有限公司	106.147376,29.067785
重庆市江津区鹏兰花木有限公司	查询失败
重庆瑞勤环保工程有限公司	106.504453,29.395016
重庆千尺浪建筑设计有限公司	106.537121,29.575189
重庆烨冠建筑工程有限公司	106.267151,29.413938
中商投（重庆）农业有限责任公司	106.569326,29.560712
重庆翔聚瑞园林有限公司	106.525017,29.383625
重庆泊秦淮商贸有限公司	106.534293,29.404525
重庆跃丰椒源农业发展有限公司	106.121012,29.217350
重庆川崛建筑装饰工程有限公司	106.549795,29.436681
重庆中康嘉安实业有限公司	106.594179,29.660217
重庆水木峡商贸有限公司	107.352945,30.319958
重庆鑫晟旺农业发展有限公司	106.301819,29.605035
重庆禾兆环保科技有限公司	106.534523,29.378015
重庆客旺商贸有限公司	106.498217,29.571411
重庆梵星建筑工程有限公司	查询失败
重庆市铁隆建筑劳务有限公司	106.627590,29.725668
重庆业森园林工程有限公司	106.737124,29.240971
重庆渝柏瑞宜农业发展有限公司	106.726184,29.719307
重庆安嘉曼商贸有限公司	106.844018,29.554400
重庆众京派商贸有限公司	108.597025,30.916026
重庆永祥康环保科技有限公司	106.505343,29.583769
重庆长科工程设计有限公司	106.533210,29.594484
重庆盛信通建筑劳务有限公司	106.248330,29.275210
重庆耐达邦新型建材有限公司	106.445612,29.573601
重庆鑫升康医药科技有限公司	106.618993,29.706452
重庆木垚农业开发有限公司	108.346868,30.771099
重庆恒强志文化传播有限公司	106.618635,29.663494
重庆锦隆建筑工程有限公司	106.603093,29.701087
重庆青高建筑工程有限公司	106.379154,29.531999
重庆新中康实业有限公司	106.509422,29.598243
重庆合胜禾建筑科技有限公司	106.623532,29.671865
重庆珏昶企业管理咨询有限公司	106.546005,29.590656
重庆尚新机械租赁有限公司	106.530154,29.572732
重庆花庭花境园艺有限公司	106.476219,29.577480
重庆绿优保新材料科技有限公司	106.550223,29.556296
重庆耀铭装饰工程有限公司	106.571540,29.525455
重庆深呼吸园林有限责任公司	106.520313,29.378723
重庆东悦建材有限公司	106.306568,29.623064
重庆华拓物业管理有限公司	查询失败
重庆波梅生态农业发展有限公司	106.505030,29.179578
重庆市北碚区姿百态园艺场	106.570188,29.895387
重庆东晨建筑劳务有限公司	107.352945,30.319958
重庆鸿恩建筑装饰工程有限公司	106.630317,29.696037
重庆坤茂生物科技有限公司	106.614524,29.668847
重庆清晖清洁服务有限公司	106.561802,29.519453
重庆热家科技服务有限公司	106.461750,29.559550
重庆统益智能装备有限公司	106.366201,29.467408
重庆芬南西芙户外运动有限公司	106.434062,29.756307
重庆俊适建筑劳务有限公司	106.845147,29.825967
重庆七律装饰工程有限公司	106.569758,29.530616
重庆普照文化艺术有限公司	106.269862,29.408613
重庆海奎劳务有限公司	106.591190,29.642018
重庆木创装饰工程有限公司	106.476494,29.536919
重庆腾泉建材销售有限公司	108.491702,30.767291
重庆艳春绿化工程有限公司	108.254094,30.503953
重庆万农植物保护技术有限公司	106.605776,29.720812
筑勤建筑工程重庆有限公司	106.492999,29.579266
重庆筑国建筑工程有限公司	106.547034,29.404898
重庆聚汇元农业发展有限公司	106.933110,29.654079
重庆觐山堂农业有限公司	106.788269,29.517242
重庆荣兴泰运输有限公司	106.533840,29.375528
重庆花崖天蜜蜜蜂养殖股份合作社	106.567922,29.896774
重庆铭厨环保科技有限公司	106.614775,29.720877
中开建筑科技有限公司	106.441686,29.596019
重庆力脉环保工程有限公司	106.321327,29.474154
重庆兴亚物资贸易有限公司	106.469698,29.559758
重庆楠薇园农业开发有限公司	108.247269,30.615637
重庆铁建置业有限公司	106.396499,29.796536
重庆市江津区馨南种植专业合作社	106.473498,28.629452
重庆盛扬建筑工程有限公司	106.285988,29.582327
重庆头禾农业科技有限公司	106.335193,29.622157
重庆趣果体育文化传播有限公司	106.489672,29.577704
重庆敬智杰建筑劳务有限公司	106.559936,29.490936
重庆信融建设集团有限公司	106.267308,29.279564
重庆铭翰盛装饰工程有限公司	106.542427,29.572568
重庆鑫乐汇环境工程有限公司	106.520660,29.579285
重庆厚泽农业发展有限公司	106.641306,29.465051
重庆京之渝生态农业开发有限公司	106.477941,29.589546
重庆文拓商贸有限公司	106.570145,29.560919
重庆星胜光科技有限公司	106.526160,29.580083
重庆坤楠建筑工程有限公司	查询失败
长江环保集团上游有限公司	106.540783,29.400578
重庆嘉奎环境工程有限公司	106.472348,29.565414
重庆如宏装饰工程有限公司	106.532189,29.589758
重庆谊合林农业综合开发有限公司	106.625212,29.718000
重庆飞购商贸有限公司	106.528602,29.587331
重庆华文健之旅生态旅游开发有限公司	106.593762,29.509057
重庆伯瓦络实业有限公司	106.514259,29.586037
重庆市福淋鑫成建筑劳务有限公司	106.500567,29.588356
重庆慧桥数智科技有限公司	106.559456,29.527558
重庆科固建筑工程有限公司	106.529899,29.537710
重庆森博园林绿化有限公司	106.439453,29.554785
重庆钺立教学设备有限公司	108.404390,30.796330
重庆巅峰实业有限公司	查询失败
重庆市巴南区楠悦花木种植场	106.612869,29.419836
重庆祝燃科技有限公司	106.531527,29.572845
重庆市深材工贸有限责任公司	106.611632,29.675022
重庆石思庆装饰设计有限公司	106.404174,29.807270
重庆晗沛建材有限公司	106.921868,29.810839
重庆煜庭文化传播有限公司	106.289207,29.605056
重庆文朗实业有限公司	108.453959,30.766181
重庆海天豚家政有限公司	106.602884,29.698591
重庆创锐园林规划设计工程有限公司	106.503944,29.575817
重庆建邦花木有限公司	106.567650,29.531201
重庆樽辉森境园林绿化工程有限公司	106.472348,29.565414
重庆文振科技有限公司	106.438331,29.818296
重庆皓莱科技有限公司	108.366563,30.839922
重庆中传悦风文化传播有限公司	查询失败
重庆立清建筑垃圾清运有限公司	106.466732,29.859919
重庆京森环境卫生服务有限公司	106.440672,29.512668
重庆横琴思网络信息咨询有限公司	106.559936,29.490936
重庆护慧商贸有限公司	105.957361,29.508269
重庆亿呈保洁服务有限公司	106.572747,29.556832
重庆康正达建筑劳务有限公司	106.596872,29.714261
重庆腾伍装饰工程有限公司	106.475467,29.539771
重庆市北碚区强洁花木园艺场	106.568515,29.867033
重庆中节能清洁能源有限公司高九路CNG加气站	106.499173,29.545041
重庆朗田园林工程有限公司	106.498053,29.570429
重庆邑升印空间装饰工程有限公司	106.608706,29.648514
重庆联侨工贸发展有限公司	106.461210,29.557690
重庆展铭电力工程有限公司	106.472306,29.565222
重庆雄运兴建筑设备租赁有限公司	106.610237,29.694073
重庆煜坔科技发展有限公司	106.485100,29.730556
重庆奥利生态农业发展有限公司	106.606013,29.320286
重庆江卫建筑装饰工程有限公司	106.567111,29.285028
重庆再兴建筑工程有限公司	106.596439,29.686971
碚之健（重庆）科技有限公司	106.392230,29.793777
重庆精达物业管理有限公司	106.628814,29.716426
重庆宇凡光电科技有限公司	106.333481,29.617921
重庆市巴南区侨河花木种植场	106.593400,29.367719
重庆市鸿安物业管理有限责任公司	106.275400,29.269403
重庆草街旅游开发有限公司	106.441661,29.825160
重庆聚购科技发展有限公司	106.529198,29.584422
重庆梁仓文化创意设计有限公司	106.514397,29.550323
重庆广积德实业有限公司	106.251239,29.270753
重庆蒋托仁建筑劳务有限公司	106.544320,29.570129
鸿泰荣（重庆）供应链管理有限公司	106.609046,29.347000
重庆枭渝环保科技有限公司	108.402616,30.764426
重庆斌哥建筑劳务有限公司	106.605070,29.700211
重庆馨辰峰建筑劳务有限公司	106.280116,29.275892
米德田（重庆）工程咨询有限公司	107.735696,29.868052
重庆顶艺园林景观设计有限公司	106.628689,29.722721
重庆美璇园林工程有限公司	106.402496,29.797933
重庆山石园林绿化有限责任公司	106.531289,29.577447
重庆融莱娅农业服务部四分店	106.430176,29.882960
重庆立恩新材料有限公司	106.613709,29.394458
重庆天灿园林景观设计工程有限公司	查询失败
重庆旺达清洁有限责任公司	106.509219,29.578625
重庆鎏煜泰劳务有限公司	106.581872,29.535378
重庆迦慈科技有限公司	106.452600,29.545560
重庆渝蜀游实业有限公司	106.452831,29.540899
重庆浩胜特物业管理有限公司	106.547381,29.450898
重庆顺行地质勘查有限公司	106.460184,29.557287
重庆明煜达信息科技有限公司	106.434494,29.812602
重庆户净有害生物防治有限公司	106.371996,29.764293
重庆宇浦建筑工程有限公司	106.550223,29.556296
重庆意境达科技有限公司	106.631187,29.718143
重庆斯琴高丽保洁服务有限公司	106.567650,29.531201
重庆锦田装饰设计工程有限公司	查询失败
重庆林科环保有限公司	106.211678,29.268433
重庆杨正龙旅游发展有限公司	108.759620,30.529681
重庆朱健生态农业发展有限公司	106.606013,29.320286
重庆闰特环保工程有限公司	108.397562,30.829474
重庆宸华道路养护有限公司	106.705498,29.769849
重庆蓝兴生态环境工程有限公司	106.481225,29.595476
重庆道匠装饰工程有限公司	106.454877,29.528344
重庆创亿非融资性担保有限公司	106.532880,29.574400
重庆龙冰劳务有限公司	106.288346,29.262878
重庆林中燕家政有限公司	106.568735,29.511970
重庆市汉东工程技术咨询有限公司	108.403324,30.804170
重庆静路园林绿化有限公司	108.391498,30.825751
重庆晟长源建筑劳务有限公司	106.512205,29.386726
重庆逸宸科技有限公司	106.529837,29.600314
重庆乐在线体育设施工程有限公司	查询失败
重庆富唐建筑工程管理有限公司	106.522295,29.596829
重庆旭京劳务有限公司	106.533840,29.375528
重庆利佳保洁服务有限公司	106.612149,29.716549
重庆埃晟环保科技有限公司	106.445122,29.822616
重庆林运物业管理有限公司	查询失败
重庆军惠军爱实业有限公司	106.514278,29.578261
重庆胜菡园艺有限公司	106.671480,29.561277
重庆朗豪照明科技有限公司	106.387826,29.599688
重庆知墨物业管理有限公司	106.569250,29.515580
重庆仓馥建筑设计中心	108.439564,30.774625
重庆百姓之家农业发展有限公司	106.517945,29.457709
重庆市渝北区威发建筑劳务有限公司	106.516638,29.598053
重庆凯源环保科技有限公司	查询失败
重庆城艺枫园林景观工程有限公司	106.415267,29.823766
芙瑞德斯企业管理咨询（重庆）有限公司	106.529198,29.584422
重庆洁华优佳清洁服务有限公司	106.604683,29.626264
重庆成诺地坪工程有限公司	106.543160,29.517175
重庆天御熹农业发展有限公司	106.540478,29.388276
重庆渝邻熊林商贸有限公司	106.746029,29.987308
重庆市志达苗木有限公司	106.631777,29.716075
重庆甲高建筑劳务有限公司	108.376675,30.811596
重庆诚蒂环保科技有限公司	106.550030,29.430661
重庆天之则建筑科技有限公司	106.568981,29.480400
重庆村之源农业发展有限公司	106.678152,29.366852
重庆汇霖航空服务有限公司	106.616060,29.703787
重庆展烨农业发展有限公司	106.678152,29.366852
重庆市北碚区静柳花木园艺场	106.586111,29.986244
重庆玮申再生资源回收有限公司	106.620182,29.332627
重庆福口谷健康科技有限公司	106.568869,29.576593
虫蝶展览（重庆）有限公司	106.609092,29.648641
保利重庆物业管理有限公司	106.308714,29.412731
重庆涵金保洁服务部	106.711073,29.733011
重庆市嘉乐装卸有限公司	106.294762,29.392464
重庆鑫昊实业有限公司	106.211737,29.254158
重庆通润锅炉成套设备有限公司	106.453604,29.544682
重庆古仕记装饰工程有限公司	106.502897,29.589849
重庆森霄林业咨询有限公司	106.564720,29.528090
重庆孺子牛商务服务有限公司	106.291572,29.583594
重庆贵和企业管理咨询有限公司	106.526054,29.601724
重庆芯玥环卫有限公司	106.644428,29.500297
重庆市万州区凯尔龙农业开发有限公司	108.351767,30.545703
重庆市鲜蕊花木种植场	106.611869,29.384836
重庆秋之景农业有限公司	106.644428,29.500297
重庆市北碚区环达生态农业发展有限公司	106.608068,29.956585
重庆中秦建筑安装工程有限公司	106.533840,29.375528
重庆馨家装饰设计工程有限公司	106.697935,29.769431
重庆市江津区果来生态农业开发有限公司	106.396319,29.299694
重庆妙汐装饰工程有限公司	106.399228,29.803864
重庆盛轩印刷材料有限公司	查询失败
重庆胧柠平农业发展有限公司	106.606013,29.320286
重庆洛卡景观设计有限公司	查询失败
重庆市万州区富亦毓林业有限责任公司	108.438216,30.564799
重庆索邦建筑工程有限公司	106.472348,29.565414
重庆才才华劳务有限公司	108.407096,30.753637
重庆航柏懿建材有限公司	108.439564,30.774625
重庆平柱建筑装饰工程有限公司	106.545092,29.395868
重庆麒祥麟建设集团有限公司	106.566910,29.531274
重庆飞翔园林景观工程有限公司	106.373380,29.475148
重庆市江津区天狮路鸡养殖家庭农场	106.070785,29.159032
重庆骏煌装饰工程有限公司	106.266090,29.275820
重庆诚筑园林景观工程有限公司	106.466879,29.582310
重庆博信非融资担保有限公司	106.534441,29.572238
重庆铭洋环保工程有限公司	查询失败
重庆康穗农业科技有限公司	106.389241,29.799692
重庆市统觉贸易有限责任公司	106.539633,29.526509
重庆黄泥塝园林绿化工程有限公司	106.454189,29.114611
重庆科璜建筑装饰设计工程有限公司	106.554399,29.531975
重庆阿秀萍电子商务有限公司	106.568584,29.532234
重庆鼎镪装配式钢结构工程有限公司	106.568074,29.532479
重庆曼顿环保设备有限公司	106.524994,29.381236
重庆慧讯物业管理有限公司	106.575675,29.524881
重庆坤美通讯科技有限公司	106.448081,29.524555
重庆市巴南区舒然花木种植场	106.616085,29.343208
重庆美东旅游开发有限公司	106.599306,29.676113
重庆祥途建筑劳务有限公司	106.265688,29.281509
重庆麒开胜生物科技有限公司	查询失败
重庆平优建筑劳务有限公司	106.471946,29.731873
重庆云中雾建筑工程有限公司	106.578507,29.534301
重庆汉鼎实业有限公司	108.381779,30.808740
重庆壹发建设工程有限公司	106.539863,29.579453
捷辛重庆办公用品有限公司	106.409240,29.804935
重庆千里香科技有限公司	106.512304,29.579508
重庆希尼亚实业有限公司	106.526315,29.597543
重庆远锦市政园林工程有限公司	106.564664,29.573085
重庆兴仕捷工程科技有限公司	查询失败
中浩馨（重庆）物业管理有限公司	106.635160,29.676398
重庆春雨学校后勤服务有限公司	106.576207,29.552094
重庆幂延建筑装饰有限公司	106.533840,29.375528
重庆氚素建筑工程有限公司	106.259281,29.290069
重庆金智家装饰设计工程有限公司	106.533840,29.375528
重庆欣之悦生态农业发展有限公司	106.788269,29.517242
重庆兴博防水工程有限公司	106.285261,29.271754
重庆海水科技有限公司	106.488929,29.569398
重庆娜子旻科技有限公司	106.435785,29.545559
重庆市万州区科源越机械租赁有限责任公司	108.494293,30.768244
重庆小蓝笙科技有限公司	106.445122,29.822616
重庆果益多农业发展有限公司	106.690474,29.840667
重庆金航剑农业发展有限公司	106.473623,29.380511
重庆飞廷装饰工程有限公司	106.431241,29.815139
重庆清仕航环保科技有限公司	108.397989,30.755649
重庆中铂梁住物业服务有限公司	106.573135,29.518062
重庆拾垒建筑设计有限公司	106.571585,29.525904
重庆彬志园林工程有限公司	106.807328,29.387880
重庆聚金建筑工程有限公司	106.519475,29.473852
重庆强创农业开发有限公司	106.481265,29.275451
重庆盛雅源园林绿化有限公司	106.298805,29.483824
重庆煌林园林景观工程有限公司	106.629322,29.470985
重庆嘉朗清洁服务有限公司	106.398358,29.799365
重庆双祎生态农业有限公司	106.308714,29.412731
重庆跃来居装饰工程有限公司	108.398424,30.755032
重庆英格照明设计有限公司	106.553627,29.531655
重庆随印坊传媒有限公司	106.546202,29.558390
重庆秦岗岭建筑劳务有限公司	106.448423,29.850052
重庆颖静清洁服务有限公司	106.542778,29.397171
重庆磊慈保洁服务有限公司	106.482210,29.566897
重庆福桂竹农业有限公司	106.743730,29.969315
重庆东岸建筑工程有限公司	106.562769,29.556148
重庆众兴瑞建筑工程有限公司	106.527366,29.603467
重庆白桦林环境绿化工程有限公司	106.627200,29.704176
重庆市北碚区余全花木种植场	106.568910,29.892682
重庆仓庚装饰设计工程有限公司	106.568352,29.529628
重庆绿赞诚园艺有限公司	106.303421,29.580465
重庆迈吉装饰工程有限公司	106.259250,29.307750
重庆沃玛斯格环境科技有限公司	106.287175,29.455796
重庆立里园艺场	106.297069,29.447049
重庆智文建筑装饰工程有限公司	106.511947,29.557829
重庆市灵应寺农业发展有限公司	106.395079,29.152651
重庆沙羿建设工程有限公司	106.579052,29.574834
重庆市川菊农业开发有限公司	106.361149,29.102792
南山佳景养老产业发展有限公司	106.663994,29.429993
重庆根欣网络科技有限公司	106.573220,29.494929
重庆世典新成科技有限公司	106.463211,29.551988
重庆科妙科技有限公司	106.498217,29.571411
重庆聚联建筑规划设计有限公司	106.381121,29.519131
重庆瑞耀环境工程有限公司	106.517621,29.379546
泽科集团重庆物业服务有限公司	106.610322,29.717639
重庆紫景天建筑装饰设计工程有限公司	106.616416,29.718503
重庆康衢建筑劳务有限公司	106.404496,29.821539
重庆德才谦备劳务有限公司	106.469383,29.548566
重庆市江津区新古生态农业开发有限责任公司	105.921516,28.960018
重庆笔昌诚节能环保科技有限公司	106.575232,29.532982
重庆渝竹川建筑劳务有限公司	106.567265,29.524125
重庆智益商业管理有限公司	106.532250,29.597987
重庆达观园林有限公司	106.516123,29.596919
重庆比甲文化传播有限公司	106.536529,29.566061
重庆美奂雕塑有限公司	106.542838,29.551330
重庆尚营通建筑劳务有限公司	106.147106,29.204491
重庆巨龙建筑劳务有限公司	106.554289,29.518500
重庆震森建设工程有限公司	108.360314,30.824386
重庆森太物业管理有限公司	106.559813,29.519757
重庆大有物业管理有限责任公司	106.609496,29.545055
重庆悦春物业管理有限责任公司	106.372665,29.765504
重庆星盛水木商贸有限公司	查询失败
重庆求知装饰工程有限公司	106.364486,29.597990
重庆博东后勤管理有限公司	106.539346,29.597146
重庆众晟环保技术有限公司	106.568520,29.519270
重庆君信易佳物业服务有限公司	106.294371,29.253236
重庆奇科盈广告传媒有限公司	108.385227,30.801421
重庆美域花境景观设计工程有限公司	查询失败
重庆玖盛和实业有限公司	106.362303,29.756190
华南城商业管理（重庆）有限公司	106.612564,29.338729
重庆嘉玉江防水保温工程有限公司	106.456878,29.541145
重庆余汛贸易有限公司	106.848177,29.853287
重庆市云沃环保科技有限公司	106.551862,29.520240
重庆叠之峰广告有限公司	106.397506,29.806206
重庆鸿冠科技咨询有限公司	106.516311,29.539562
重庆革新建筑装饰工程有限公司	106.277166,29.278190
重庆中友勘测设计有限公司	106.526054,29.601724
重庆诚雅家政服务有限公司	106.556763,29.512798
重庆资宇熠然装饰设计工程有限公司	106.532903,29.583416
重庆雷露工贸有限公司	106.337340,29.693502
重庆茗之千劳务有限公司	106.533840,29.375528
重庆市巴南区玉雪花木种植股份合作社	106.611869,29.384836
重庆峻思工程设计中心	106.625719,29.322778
重庆硅烁信息技术有限公司	106.375800,29.599070
重庆市嘉庆花木种植专业合作社	106.568515,29.867033
重庆葱盈园林景观工程有限公司	106.560632,29.535714
重庆迅冉环保工程有限公司	106.522295,29.596829
重庆雅卓建筑劳务有限公司	108.539954,30.920144
重庆造景艺塑建设有限公司	106.472348,29.565414
重庆浪漫花都花卉有限公司	查询失败
渝创智联（重庆）科技开发有限公司	106.458145,29.556080
重庆市怡文环境科技有限公司	106.375800,29.599070
重庆国都照明工程有限公司	106.548884,29.602148
重庆凤成凰建筑劳务有限公司	106.597756,29.686451
重庆琴灏装饰设计有限公司	106.590652,29.892532
重庆立天盛工程项目管理有限公司	106.548819,29.552146
重庆和道物联网科技有限公司	106.524597,29.572696
重庆捷旺科技有限公司	106.502439,29.599202
重庆睿乐诚建筑劳务有限公司	106.405994,29.808905
重庆晨呈农业科技有限公司	106.639151,29.492007
重庆荣聚兴科技有限公司	106.512942,29.567877
重庆集艺装饰工程有限公司	108.482975,30.770359
重庆光顺环保科技有限公司	106.575801,29.518451
重庆市茂亮劳务有限公司	查询失败
重庆小景大成园林工程有限公司	106.555714,29.462745
重庆达尔建筑规划设计有限公司	106.598308,29.687877
重庆昊日建筑工程有限公司	108.404390,30.796330
重庆联胜至强科技有限公司	106.533916,29.568645
重庆世雄建筑工程机械有限公司	106.469831,29.549507
重庆悦磁酒店管理有限公司	106.488219,29.584375
重庆屯源科技有限公司	查询失败
重庆欧博实业有限责任公司	106.388566,29.635175
重庆欧凯装饰工程有限公司	106.522670,29.567070
重庆旭可装饰工程有限公司	106.531453,29.583178
重庆锟铻建设工程有限公司	106.574300,29.520636
重庆松格暖通工程有限公司	106.586418,29.537294
重庆睿宜轩物业管理有限公司	106.309979,29.517652
重庆福音清洁服务有限公司	106.604666,29.690110
云锦（重庆）工程技术有限公司	106.445122,29.822616
重庆安冠科技发展有限公司	106.604104,29.697033
重庆天予佳太工贸有限公司	106.625265,29.396569
重庆美刻园林景观有限公司	106.319660,29.611436
重庆市水利电力建筑勘测设计研究院有限公司	106.538459,29.575189
重庆市煌诚建筑劳务有限公司	108.447574,30.759926
重庆沪泽实业有限公司	108.415497,30.815176
重庆丰弘祥科技发展有限公司	106.441680,29.505480
重庆市机电设计研究院	106.515064,29.590790
重庆市万州区康路装饰工程有限公司	108.429158,30.757078
重庆蓬盛康牧农业发展有限公司	106.190858,29.312317
重庆安尔丹物业管理有限公司	106.456983,29.539434
重庆跨拓科技有限公司	106.539289,29.589866
重庆锡安天澜实业（集团）有限公司	106.532026,29.571403
汉味煮聒（重庆）商务服务有限公司	106.613709,29.394458
重庆福莱建筑劳务有限公司	106.600113,29.593455
重庆邦贝建筑工程设备租赁有限公司	106.318843,29.531051
重庆其斐机电设备有限公司	106.526628,29.598612
重庆业旭钢结构工程有限公司	106.500925,29.581850
重庆旺顿生态农业有限公司	108.276688,30.462183
重庆昱恒建筑设备租赁有限公司	查询失败
重庆市鲜草地农业开发有限公司	106.269977,29.278657
重庆峰富建筑劳务有限公司	106.474932,29.590400
重庆三泰传媒集团有限公司	108.403576,30.808231
重庆得胜文化传播有限公司	106.495270,29.584938
重庆瀚之源农业开发有限公司	106.587518,29.648457
重庆艺锦医疗信息技术有限公司	106.377425,29.672705
重庆亿豪烊装饰工程有限公司	108.402616,30.764426
重庆易企启商业管理有限公司	106.565521,29.531558
重庆豪禹装饰工程有限公司	106.445122,29.822616
重庆聚晟创建筑工程有限公司	查询失败
重庆启涵检测技术有限公司	106.625265,29.396569
重庆邦晟建筑劳务有限公司	106.136892,29.056910
重庆远华环保工程有限公司	106.562131,29.518175
田管家（重庆）农业服务专业合作社联合社	106.908988,29.758970
重庆市垚方建筑劳务有限公司	108.373360,30.868549
重庆法莱商贸有限公司	106.529677,29.571741
雲河世纪文化发展重庆有限公司	106.545696,29.558899
重庆福斗农业科技有限公司	106.558168,29.513538
重庆弘珍装饰工程有限公司	106.597583,29.679496
重庆市送变电工程有限公司	106.464944,29.562419
重庆金源顺国建筑劳务有限公司	106.533840,29.375528
重庆璐曦园艺场	106.566191,29.887797
重庆森禾广告设计有限公司	查询失败
重庆泳溢花木种植股份合作社	106.563166,29.948619
重庆建环实业集团有限公司	108.409310,30.806880
重庆晶冰科技有限公司	106.574271,29.606703
重庆漫森农业发展有限公司	106.699645,29.467273
重庆延展建筑劳务有限公司	106.274812,29.267480
重庆市小蛙居生态农业有限责任公司	106.789753,29.417620
重庆甲乙丙科技有限公司	查询失败
重庆米迈科技有限公司	106.445143,29.556378
重庆市辉驰人力资源管理有限公司	108.723280,30.996516
重庆鑫欣向嵘园林绿化工程有限公司	106.596580,29.593818
重庆牟文胜园林绿化有限公司	106.509246,29.377492
重庆蓝之景农业开发有限公司	106.533259,29.405780
石姿凯建筑装饰设计（重庆）有限公司	106.308439,29.599452
重庆实腾装饰工程有限公司	106.536838,29.571041
重庆金智房地产开发有限公司	106.456601,29.727802
重庆枫之源装饰工程有限公司	106.366076,29.542844
重庆市都顺建筑工程有限公司	查询失败
重庆祺正环保科技有限公司	106.644428,29.500297
重庆双林清洁服务有限公司	查询失败
重庆初白文化创意有限公司	106.377613,29.585986
重庆寻英轩企业管理有限公司	106.613746,29.693170
捷联（重庆）实业有限公司	查询失败
重庆市江津区元寞商贸有限公司	106.179918,28.991615
云麾天下（重庆）科技有限公司	106.480244,29.589561
重庆浩清辰建筑安装工程有限公司	106.375800,29.599070
重庆格斯菲纳装饰工程有限公司	108.382236,30.808514
重庆柠都农业开发有限公司	查询失败
重庆航妍物业管理有限公司	106.628234,29.731779
中航科技（重庆）有限公司	106.379154,29.531999
重庆明煌园林有限公司	106.430176,29.882960
重庆科然建筑劳务有限公司	106.563310,29.570435
重庆丽璟商贸有限公司	106.625494,29.719694
重庆玉生烟企业管理咨询有限公司	106.483451,29.582563
重庆一片树生态农业开发有限公司	106.858378,29.250297
重庆愉合再生资源回收有限公司	106.335571,29.622601
重庆草坪蟠桃园生态农业发展有限责任公司	106.766774,29.850206
重庆启振环保科技有限公司	106.565028,29.570274
重庆杉磊建筑工程有限公司	106.571585,29.525904
重庆金鼻象装饰工程有限公司	106.644428,29.500297
重庆新诚环保工程技术有限公司	106.573220,29.494929
重庆悦近来远环保科技有限公司	106.540888,29.569618
重庆鑫冠楼宇智能化工程设备有限公司	106.525334,29.589087
重庆明航家政有限公司	106.614398,29.713404
重庆嘉典商贸有限公司	106.252056,29.269336
重庆富卓农业发展有限公司	106.250074,29.281945
